Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-02-26,18:00,MLS,Regular Season,Sat,Away,L,0,3,D.C. United,1.0,1.6,53,16412,Christian Fuchs,3-4-3,Víctor Rivas,Match Report,
2022-03-05,19:30,MLS,Regular Season,Sat,Home,L,0,1,LA Galaxy,0.5,2.1,50,74479,Christian Fuchs,3-4-3,Jair Marrufo,Match Report,
2022-03-13,16:30,MLS,Regular Season,Sun,Away,L,1,2,Atlanta Utd,0.9,1.7,40,43055,Christian Fuchs,4-1-4-1,Guido Gonzalez,Match Report,
2022-03-19,19:00,MLS,Regular Season,Sat,Home,W,3,1,New England,1.7,2.1,49,29318,Christian Fuchs,4-4-2◆,Marcos de Oliveira,Match Report,
2022-03-26,17:00,MLS,Regular Season,Sat,Home,W,2,0,FC Cincinnati,1.2,1.7,58,30242,Christian Fuchs,4-4-2◆,Alex Chilowicz,Match Report,
2022-04-02,19:30,MLS,Regular Season,Sat,Away,L,0,2,Philadelphia,0.3,1.3,58,18136,Christian Fuchs,3-4-3,Tim Ford,Match Report,
2022-04-10,13:30,MLS,Regular Season,Sun,Home,W,1,0,Atlanta Utd,1.1,1.1,51,32496,Christian Fuchs,4-4-2◆,Allen Chapman,Match Report,
2022-04-16,19:30,MLS,Regular Season,Sat,Away,L,1,2,New England,0.4,1.1,60,15344,Christian Fuchs,4-4-2◆,Pierre-Luc Lauzière,Match Report,
2022-04-23,19:00 (21:00),MLS,Regular Season,Sat,Away,D,0,0,Colorado Rapids,0.9,0.7,55,13160,Christian Fuchs,4-4-2◆,Ismir Pekmic,Match Report,
2022-04-30,19:30,MLS,Regular Season,Sat,Away,L,1,2,Orlando City,1.0,1.3,58,17012,Christian Fuchs,4-4-2◆,Fotis Bazakos,Match Report,
2022-05-07,15:30,MLS,Regular Season,Sat,Home,W,1,0,Inter Miami,1.2,1.0,53,32018,Christian Fuchs,4-5-1,Rubiel Vázquez,Match Report,
2022-05-14,19:00,MLS,Regular Season,Sat,Home,L,0,2,CF Montréal,1.4,1.1,55,33323,Guzmán Corujo,4-4-2◆,Silviu Petrescu,Match Report,
2022-05-22,17:00,MLS,Regular Season,Sun,Home,W,2,1,Vancouver,2.1,1.0,63,32034,Christian Fuchs,4-1-4-1,Nima Saghafi,Match Report,
2022-05-29,18:30 (21:30),MLS,Regular Season,Sun,Away,L,1,2,Seattle,1.1,1.5,43,32763,Guzmán Corujo,4-1-4-1,R. Mendoza,Match Report,
2022-06-11,15:00,MLS,Regular Season,Sat,Home,,,,NY Red Bulls,,,,,,,,Head-to-Head,
2022-06-18,19:30,MLS,Regular Season,Sat,Away,,,,Columbus Crew,,,,,,,,Head-to-Head,
2022-06-25,19:30,MLS,Regular Season,Sat,Away,,,,CF Montréal,,,,,,,,Head-to-Head,
2022-06-30,19:00,MLS,Regular Season,Thu,Home,,,,Austin FC,,,,,,,,Head-to-Head,
2022-07-03,19:30 (20:30),MLS,Regular Season,Sun,Away,,,,Houston Dynamo,,,,,,,,Head-to-Head,
2022-07-09,19:00,MLS,Regular Season,Sat,Home,,,,Nashville,,,,,,,,Head-to-Head,
2022-07-16,20:00,MLS,Regular Season,Sat,Away,,,,Inter Miami,,,,,,,,Head-to-Head,
2022-07-23,19:30,MLS,Regular Season,Sat,Away,,,,Toronto FC,,,,,,,,Head-to-Head,
2022-07-30,19:00,MLS,Regular Season,Sat,Home,,,,Columbus Crew,,,,,,,,Head-to-Head,
2022-08-03,19:00,MLS,Regular Season,Wed,Home,,,,D.C. United,,,,,,,,Head-to-Head,
2022-08-06,19:00,MLS,Regular Season,Sat,Home,,,,Chicago Fire,,,,,,,,Head-to-Head,
2022-08-13,19:30 (22:30),MLS,Regular Season,Sat,Away,,,,Los Angeles FC,,,,,,,,Head-to-Head,
2022-08-16,20:00,MLS,Regular Season,Tue,Away,,,,NYCFC,,,,,,,,Head-to-Head,
2022-08-21,19:00,MLS,Regular Season,Sun,Home,,,,Orlando City,,,,,,,,Head-to-Head,
2022-08-28,19:00,MLS,Regular Season,Sun,Home,,,,Toronto FC,,,,,,,,Head-to-Head,
2022-09-03,19:30,MLS,Regular Season,Sat,Away,,,,FC Cincinnati,,,,,,,,Head-to-Head,
2022-09-10,19:00,MLS,Regular Season,Sat,Home,,,,NYCFC,,,,,,,,Head-to-Head,
2022-09-17,19:00 (20:00),MLS,Regular Season,Sat,Away,,,,Chicago Fire,,,,,,,,Head-to-Head,
2022-10-01,19:00,MLS,Regular Season,Sat,Home,,,,Philadelphia,,,,,,,,Head-to-Head,
2022-10-08,20:00,MLS,Regular Season,Sat,Away,,,,NY Red Bulls,,,,,,,,Head-to-Head,